locality_id,lat,long,locality
396,-36.81909176,142.616484,WAL WAL
397,-36.71744157,142.9814278,BOLANGUM
398,-36.82285865,142.7940368,CALLAWADDA
399,-36.92542526,142.7959945,CAMPBELLS BRIDGE
400,-36.97659863,142.7584938,GERMANIA
401,-36.93245666,142.9444988,GREENS CREEK
402,-36.77318828,142.9860744,KANYA
403,-36.666391,142.876262,MARNOO
404,-36.71153166,142.7794333,MARNOO WEST
405,-36.86638119,142.8949426,MORRL MORRL
406,-36.74801665,142.9016653,WALLALOO
407,-36.80559338,142.9089779,WALLALOO EAST
408,-36.597861,142.693946,BANYENA
409,-36.583744,142.487468,KEWELL
410,-36.092132,142.446015,BRIM
411,-36.34199038,142.6792298,BOOLITE
412,-36.430131,142.677858,MINYIP
413,-36.257725,142.387341,AILSA
414,-35.918885,142.441984,BEULAH
415,-35.9579551,142.6453073,REEDY DAM
416,-35.83347402,142.4214713,ROSEBERY
417,-35.7157,142.329159,HOPETOUN
418,-36.608521,142.357023,JUNG
419,-36.725245,142.203729,BRIMPAEN
420,-36.881534,141.940832,BLACKHEATH
421,-37.03953686,142.2041883,BRIMPAEN
422,-36.57669756,142.3388059,JUNG
423,-36.68413291,142.3445593,LONGERENONG
424,-37.2749188,142.0507182,ROCKLANDS
425,-36.78558459,142.4320005,ST HELENS PLAINS
426,-36.52995528,142.0867071,WAIL
427,-37.0307138,142.3452363,WARTOOK
428,-37.164183,142.666302,HORSHAM
429,-37.298061,141.948371,BALMORAL
430,-36.72484337,141.8632367,ARAPILES
431,-36.93658009,141.8934852,CLEAR LAKE
432,-37.03897482,141.7107285,DOUGLAS
433,-36.60694604,141.9140027,DUCHEMBEGARRA
434,-36.667303,141.89695,GRASS FLAT
435,-36.91000699,141.7461966,JILPANGER
436,-36.85914305,141.6408336,MIGA LAKE
437,-36.71831242,141.7727332,MITRE
438,-36.84799315,141.9194993,NORADJUHA
439,-36.80951649,141.7810211,TOOAN
440,-37.02197072,141.570286,WOMBELANO
441,-36.658804,141.366071,GOROKE
442,-36.699331,141.201068,MINIMAY
443,-36.388628,142.093883,ANTWERP
444,-36.352459,141.339702,MIRAM
445,-36.074144,141.538074,BROUGHTON
446,-36.226015,141.101929,KANIVA
447,-36.41273,141.017332,LILLIMUR
448,-36.13191,141.940764,JEPARIT
449,-35.727789,141.930872,ALBACUTYA
450,-37.643461,144.707974,DIGGERS REST
451,-37.591069,144.811494,BULLA
452,-37.56762,144.728973,SUNBURY
453,-37.494056,144.806632,CLARKEFIELD
454,-37.474551,144.69202,RIDDELLS CREEK
455,-37.448455,144.792581,BOLINDA
456,-37.413302,144.752095,MONEGEETTA
457,-37.35388,144.750796,CHEROKEE
458,-37.179453,144.743358,BENLOCH
459,-37.501619,144.513018,BULLENGAROOK
460,-37.457528,144.602032,NEW GISBORNE
461,-37.413377,144.546151,MACEDON
462,-37.399224,144.603892,MOUNT MACEDON
463,-37.330661,144.548846,ASHBOURNE
464,-37.171788,144.544716,BARFOLD
465,-37.184831,144.374338,DRUMMOND NORTH
466,-37.157744,144.322487,TARADALE
467,-37.075364,144.387629,ELPHINSTONE
468,-37.061635,144.214903,CASTLEMAINE
469,-37.125338,144.21419,BARKERS CREEK
470,-36.950365,144.281488,HARCOURT
471,-37.424116,144.33471,BARRYS REEF
472,-37.351704,144.144216,BASALT
473,-37.287848,144.170995,BULLARTO
474,-37.083561,144.053611,GREEN GULLY
475,-36.957983,144.05651,BARINGHUP
476,-37.02851213,144.0988962,GOWER
477,-37.019811,143.841414,CARISBROOK
478,-37.021478,143.611335,ADELAIDE LEAD
479,-37.105993,143.412675,AVOCA
480,-37.261481,143.379493,AMPHITHEATRE
481,-37.172964,143.280627,ELMHURST
482,-36.864952,143.657638,BET BET
483,-36.70633,143.51213,ARCHDALE
484,-36.688551,143.230699,AVON PLAINS
485,-36.8061787,143.4180029,DALYENONG
486,-36.61840529,142.8997503,GRAYS BRIDGE
487,-36.65690656,142.9563966,MARNOO EAST
488,-36.58743626,142.9166939,YORK PLAINS
489,-36.31227,142.968057,AREEGRA
490,-36.32166578,143.0409276,GIL GIL
491,-36.31902453,143.1383586,JEFFCOTT
492,-36.26284609,143.0680468,JEFFCOTT NORTH
493,-36.17028,142.766588,MASSEY
494,-35.901765,142.890804,BALLAPUR
