,locality,lat,lon,locality_id,city_id,city_name,max_uv,datetime,t_solar_rad,uv_levels,uv_id
131,KEILOR EAST,-37.74107,144.857638,34,9972422,Keilor East,3.6,2022-08-03,3353.6,MODERATE,1
132,AVONDALE HEIGHTS,-37.761235,144.86194,35,9972421,Essendon West,2.7,2022-08-02,2955.5,LOW,0
133,AVONDALE HEIGHTS,-37.761235,144.86194,35,9972421,Essendon West,2.3,2022-07-31,1908.6,LOW,0
134,AVONDALE HEIGHTS,-37.761235,144.86194,35,9972421,Essendon West,2.3,2022-08-01,2337.2,LOW,0
135,AVONDALE HEIGHTS,-37.761235,144.86194,35,9972421,Essendon West,3.6,2022-08-03,3353.6,MODERATE,1
136,KEILOR,-37.705324,144.82246,36,2161719,Keilor,1.4,2022-07-31,1936.4,LOW,0
137,KEILOR,-37.705324,144.82246,36,2161719,Keilor,3.6,2022-08-03,3361.4,MODERATE,1
138,KEILOR,-37.705324,144.82246,36,2161719,Keilor,1.6,2022-08-02,1910.5,LOW,0
139,KEILOR,-37.705324,144.82246,36,2161719,Keilor,2.9,2022-08-01,2859.6,LOW,0
140,CALDER PARK,-37.715579,144.780474,37,8348306,Delahey,1.4,2022-07-31,1936.4,LOW,0
141,CALDER PARK,-37.715579,144.780474,37,8348306,Delahey,3.6,2022-08-03,3361.4,MODERATE,1
142,CALDER PARK,-37.715579,144.780474,37,8348306,Delahey,1.6,2022-08-02,1910.5,LOW,0
143,CALDER PARK,-37.715579,144.780474,37,8348306,Delahey,2.9,2022-08-01,2859.6,LOW,0
144,KEILOR DOWNS,-37.700454,144.766873,38,2147717,Sydenham,1.4,2022-07-31,1936.4,LOW,0
145,KEILOR DOWNS,-37.700454,144.766873,38,2147717,Sydenham,3.6,2022-08-03,3361.4,MODERATE,1
146,KEILOR DOWNS,-37.700454,144.766873,38,2147717,Sydenham,1.6,2022-08-02,1910.5,LOW,0
147,KEILOR DOWNS,-37.700454,144.766873,38,2147717,Sydenham,2.9,2022-08-01,2859.6,LOW,0
148,MOONEE PONDS,-37.766184,144.922995,39,2157056,Moonee Ponds,2.7,2022-08-02,2955.5,LOW,0
149,MOONEE PONDS,-37.766184,144.922995,39,2157056,Moonee Ponds,2.3,2022-07-31,1908.6,LOW,0
150,MOONEE PONDS,-37.766184,144.922995,39,2157056,Moonee Ponds,2.3,2022-08-01,2337.2,LOW,0
151,MOONEE PONDS,-37.766184,144.922995,39,2157056,Moonee Ponds,3.6,2022-08-03,3353.6,MODERATE,1
152,ABERFELDIE,-37.751845,144.902556,40,9972420,Essendon North,2.7,2022-08-02,2955.5,LOW,0
153,ABERFELDIE,-37.751845,144.902556,40,9972420,Essendon North,2.3,2022-07-31,1908.6,LOW,0
154,ABERFELDIE,-37.751845,144.902556,40,9972420,Essendon North,2.3,2022-08-01,2337.2,LOW,0
155,ABERFELDIE,-37.751845,144.902556,40,9972420,Essendon North,3.6,2022-08-03,3353.6,MODERATE,1
156,ESSENDON FIELDS,-37.72674618,144.9011039,41,6290237,Niddrie,2.7,2022-08-02,2608.6,LOW,0
157,ESSENDON FIELDS,-37.72674618,144.9011039,41,6290237,Niddrie,2.3,2022-08-01,1598.3,LOW,0
158,ESSENDON FIELDS,-37.72674618,144.9011039,41,6290237,Niddrie,2.2,2022-07-31,2868.7,LOW,0
159,ESSENDON FIELDS,-37.72674618,144.9011039,41,6290237,Niddrie,3.6,2022-08-03,3348.6,MODERATE,1
160,ESSENDON NORTH,-37.731464,144.904815,42,9972420,Essendon North,2.7,2022-08-02,2608.6,LOW,0
161,ESSENDON NORTH,-37.731464,144.904815,42,9972420,Essendon North,2.3,2022-08-01,1598.3,LOW,0
162,ESSENDON NORTH,-37.731464,144.904815,42,9972420,Essendon North,2.2,2022-07-31,2868.7,LOW,0
163,ESSENDON NORTH,-37.731464,144.904815,42,9972420,Essendon North,3.6,2022-08-03,3348.6,MODERATE,1
164,AIRPORT WEST,-37.727529,144.866305,43,9972422,Keilor East,2.7,2022-08-02,2955.5,LOW,0
165,AIRPORT WEST,-37.727529,144.866305,43,9972422,Keilor East,2.3,2022-07-31,1908.6,LOW,0
166,AIRPORT WEST,-37.727529,144.866305,43,9972422,Keilor East,2.3,2022-08-01,2337.2,LOW,0
167,AIRPORT WEST,-37.727529,144.866305,43,9972422,Keilor East,3.6,2022-08-03,3353.6,MODERATE,1
168,NIDDRIE NORTH,-37.7393,144.886,44,6290237,Niddrie,2.7,2022-08-02,2955.5,LOW,0
169,NIDDRIE NORTH,-37.7393,144.886,44,6290237,Niddrie,2.3,2022-07-31,1908.6,LOW,0
170,NIDDRIE NORTH,-37.7393,144.886,44,6290237,Niddrie,2.3,2022-08-01,2337.2,LOW,0
171,NIDDRIE NORTH,-37.7393,144.886,44,6290237,Niddrie,3.6,2022-08-03,3353.6,MODERATE,1
172,GLADSTONE PARK,-37.691916,144.888368,45,6290241,Gladstone Park,2.7,2022-08-02,2608.6,LOW,0
173,GLADSTONE PARK,-37.691916,144.888368,45,6290241,Gladstone Park,2.3,2022-08-01,1598.3,LOW,0
174,GLADSTONE PARK,-37.691916,144.888368,45,6290241,Gladstone Park,2.2,2022-07-31,2868.7,LOW,0
175,GLADSTONE PARK,-37.691916,144.888368,45,6290241,Gladstone Park,3.6,2022-08-03,3348.6,MODERATE,1
176,PASCOE VALE,-37.731138,144.936356,46,2153720,Pascoe Vale,2.7,2022-08-02,2608.6,LOW,0
177,PASCOE VALE,-37.731138,144.936356,46,2153720,Pascoe Vale,2.3,2022-08-01,1598.3,LOW,0
178,PASCOE VALE,-37.731138,144.936356,46,2153720,Pascoe Vale,2.2,2022-07-31,2868.7,LOW,0
179,PASCOE VALE,-37.731138,144.936356,46,2153720,Pascoe Vale,3.6,2022-08-03,3348.6,MODERATE,1
180,MELBOURNE AIRPORT,-37.674739,144.836195,47,9972572,Keilor Lodge,1.4,2022-07-31,1936.4,LOW,0
181,MELBOURNE AIRPORT,-37.674739,144.836195,47,9972572,Keilor Lodge,3.6,2022-08-03,3361.4,MODERATE,1
182,MELBOURNE AIRPORT,-37.674739,144.836195,47,9972572,Keilor Lodge,1.6,2022-08-02,1910.5,LOW,0
183,MELBOURNE AIRPORT,-37.674739,144.836195,47,9972572,Keilor Lodge,2.9,2022-08-01,2859.6,LOW,0
184,GLENROY,-37.706578,144.927968,48,2165200,Glenroy,2.7,2022-08-02,2608.6,LOW,0
185,GLENROY,-37.706578,144.927968,48,2165200,Glenroy,2.3,2022-08-01,1598.3,LOW,0
186,GLENROY,-37.706578,144.927968,48,2165200,Glenroy,2.2,2022-07-31,2868.7,LOW,0
187,GLENROY,-37.706578,144.927968,48,2165200,Glenroy,3.6,2022-08-03,3348.6,MODERATE,1
188,BROADMEADOWS,-37.681105,144.930247,49,2173964,Broadmeadows,2.7,2022-08-02,2608.6,LOW,0
189,BROADMEADOWS,-37.681105,144.930247,49,2173964,Broadmeadows,2.3,2022-08-01,1598.3,LOW,0
190,BROADMEADOWS,-37.681105,144.930247,49,2173964,Broadmeadows,2.2,2022-07-31,2868.7,LOW,0
191,BROADMEADOWS,-37.681105,144.930247,49,2173964,Broadmeadows,3.6,2022-08-03,3348.6,MODERATE,1
192,COOLAROO,-37.653917,144.923609,50,8348967,Meadow Heights,2.7,2022-08-02,2608.6,LOW,0
193,COOLAROO,-37.653917,144.923609,50,8348967,Meadow Heights,2.3,2022-08-01,1598.3,LOW,0
194,COOLAROO,-37.653917,144.923609,50,8348967,Meadow Heights,2.2,2022-07-31,2868.7,LOW,0
